LocationID (QRCode),Latitude,Longitude,Description,Moderator (0/1),Active (0/1),Dosimeter,Collected Flag (0/1),Wear Period,System_Date Deployed,System_Date Collected,Mismatch (0/1), my_Date Deployed, my_Date Collected, recordID
SSRL-007,37.41809082,-122.20174964,BLDG 140 - 7': Booster Ops area above terminal work stations on unistrut,1,1,BA00100744E,0,7-1-2021,08/09/2021,08/09/2021,,08/09/2021,08/09/2021, 3FB486DF-CCA9-47E7-A353-F34A0FE69AC4
SSRL-007,37.41815186,-122.20197270,BLDG 140 - 7': Booster Ops area above terminal work stations on unistrut,1,1,BA000662249,1,1-1-2021,01/12/2021,08/09/2021,0,01/12/2021,08/09/2021, 875BE206-54A5-46B8-9BF2-35E3083F0A69
SSRL-008,37.41809082,-122.20168451,BLDG 140 - beam: Booster ring inner-west shielding wall by pep klystron,1,1,BA00091103E,0,7-1-2021,08/09/2021,08/09/2021,,08/09/2021,08/09/2021, A8B974FF-30C3-4FD2-971E-10606A6E0771
SSRL-008,37.41815186,-122.20169975,BLDG 140 - beam: Booster ring inner-west shielding wall by pep klystron,1,1,BA00103339A,1,1-1-2021,01/12/2021,08/09/2021,0,01/12/2021,08/09/2021, 17FC6055-CBBE-4543-9B78-B3425A987FF6
SSRL-009,37.41809082,-122.20174349,BLDG 140 - beam: Booster ring inner-east shielding wall by PPS access cage,1,1,BA00081907S,0,7-1-2021,08/09/2021,08/09/2021,,08/09/2021,08/09/2021, 5247C993-691C-4A6D-B05F-40B4DDDCBE72
SSRL-009,37.41812134,-122.20170398,BLDG 140 - beam: Booster ring inner-east shielding wall by PPS access cage,1,1,BA000841744,1,1-1-2021,01/12/2021,08/09/2021,0,01/12/2021,08/09/2021, 754078D7-F738-445F-B2AE-079128F8F497
SSRL-010,37.41796875,-122.20162367,adjacent to BSOIC S1- booster ring exterior,1,1,BA00121404J,0,7-1-2021,08/06/2021,08/06/2021,0,08/06/2021,08/06/2021, 4067D0DD-9181-4055-A813-F5C2657A7C43
SSRL-010,37.41793823,-122.20161610,adjacent to BSOIC S1- booster ring exterior,0,1,BA00154759P,1,1-1-2021,01/12/2021,08/06/2021,0,01/12/2021,08/06/2021, B27463B1-BD1E-4718-8ED6-C33979D94621
SSRL-011,37.41836548,-122.20164350,outer wall of booster ring at mouth of alley,0,1,BA00185662X,0,7-1-2021,08/09/2021,08/09/2021,,08/09/2021,08/09/2021, 4D250567-6749-47CC-8F45-E387F8874954
SSRL-011,37.41839600,-122.20149933,outer wall of booster ring at mouth of alley,0,1,BA00024796Y,1,1-1-2021,01/12/2021,08/09/2021,0,01/12/2021,08/09/2021, F26057F2-5DE3-4696-ABF0-B7F62D3E97D5
SSRL-012,37.41867065,-122.20172993,Outside BOOSTER on South side in small shed by stairs,1,1,BA00205318B,0,7-1-2021,08/09/2021,08/09/2021,,08/09/2021,08/09/2021, B35FF02D-A662-4C89-9E39-DEA2C3BE2CC8
SSRL-012,37.41870117,-122.20182253,Outside BOOSTER on South side in small shed by stairs,1,1,BA00098974I,1,1-1-2021,01/12/2021,08/09/2021,0,01/12/2021,08/09/2021, 92C88A81-C352-435C-95CB-641919F97114
SSRL-013,37.41809082,-122.20122740,BLDG 130 - beam: Northwest corner near entry door at BL13,1,1,BA000148546,0,7-1-2021,08/02/2021,08/02/2021,,08/02/2021,08/02/2021, 9E642468-C2BB-4233-8579-D61BCD439E8E
SSRL-013,37.41815186,-122.20115458,BLDG 130 - beam: Northwest corner near entry door at BL13,1,1,BA001566044,1,1-1-2021,01/11/2021,08/02/2021,0,01/11/2021,08/02/2021, 0B831013-71C0-4141-B039-F51E7D68A107
SSRL-014,37.41809082,-122.20121482,BLDG 130 - beam: West wall adj to electrical panels,1,1,BA002026493,0,7-1-2021,08/02/2021,08/02/2021,,08/02/2021,08/02/2021, 290E5A0A-CF64-459A-8F3C-A46E61303028
SSRL-014,37.41815186,-122.20121017,BLDG 130 - beam: West wall adj to electrical panels,1,1,BA00074586T,1,1-1-2021,01/11/2021,08/02/2021,0,01/11/2021,08/02/2021, 9F3D6F1A-4DE8-426D-80C6-8AED82E00B40
SSRL-015,37.41809082,-122.20118477,BLDG 130 - beam: West wall adj to transformers under stairway area,1,1,BA001544561,0,7-1-2021,08/02/2021,08/02/2021,,08/02/2021,08/02/2021, 55336DA9-4714-4998-8064-91E5F29A3D3A
SSRL-015,37.41821289,-122.20129716,BLDG 130 - beam: West wall adj to transformers under stairway area,1,1,BA00159595S,1,1-1-2021,01/14/2021,08/02/2021,0,01/14/2021,08/02/2021, 322A6D49-1234-467A-B6C5-B2B779614CD7
SSRL-016,37.41809082,-122.20113026,BLDG 130 - beam: South corner adj to both entry and roll-up doors,1,1,BA00044225D,0,7-1-2021,08/02/2021,08/02/2021,,08/02/2021,08/02/2021, 5E9E0F8F-95E1-4685-A39C-234AF8DF7AAD
SSRL-016,37.41815186,-122.20114963,BLDG 130 - beam: South corner adj to both entry and roll-up doors,1,1,BA00085494V,1,1-1-2021,01/12/2021,08/02/2021,0,01/12/2021,08/02/2021, B74D8988-A539-4C93-964C-3BCA22EA5520
SSRL-017,37.41815186,-122.20138655,BLDG 130 - 2nd floor: Room 200 (janitors closet),1,1,BA00158816T,0,7-1-2021,08/10/2021,08/10/2021,,08/10/2021,08/10/2021, 2C214621-5A5A-4456-B519-B9C7ABCB218E
SSRL-017,37.41827393,-122.20146092,BLDG 130 - 2nd floor: Room 200 (janitors closet),1,1,BA00082578Q,1,1-1-2021,01/12/2021,08/10/2021,0,01/12/2021,08/10/2021, 519345E5-846D-4493-951C-C98BD13BBB27
SSRL-019,37.41818237,-122.20147029,BLDG 130 - 2nd floor: Room 210,1,1,BA00133622D,0,7-1-2021,08/11/2021,08/11/2021,,08/11/2021,08/11/2021, 1FBD8FCD-CDB9-4727-B65E-067902768EF7
SSRL-019,37.41827393,-122.20157136,BLDG 130 - 2nd floor: Room 210,1,1,BA002106592,1,1-1-2021,01/12/2021,08/11/2021,0,01/12/2021,08/11/2021, 2693336E-ABB3-42F8-92DB-D40AA763435D
SSRL-020,37.41833496,-122.20161545,BLDG BTS - beam: BTS line on east side. Mounted on shield block #23 adjacent to BSOIC S23,1,1,BA00149549R,0,7-1-2021,08/10/2021,08/10/2021,,08/10/2021,08/10/2021, 358ACBAE-0CF9-4114-92D3-FF54AACC103E
SSRL-020,37.41839600,-122.20152600,BLDG BTS - beam: BTS line on east side. Mounted on shield block #23 adjacent to BSOIC S23,1,1,BA001585143,1,1-1-2021,01/12/2021,08/10/2021,0,01/12/2021,08/10/2021, FF0208C1-04E0-4862-A8D4-DD3C1D59A3AA
SSRL-021,37.41809082,-122.20158174,BLDG 140 - beam: East wall in 'alley' next to Bldg 130 and adjacent to BSOIC S4,1,1,BA00088165Z,0,7-1-2021,08/06/2021,08/06/2021,,08/06/2021,08/06/2021, E4EA0DD1-FE77-45CF-B8E3-C63003AA65FA
SSRL-021,37.41815186,-122.20165009,BLDG 140 - beam: East wall in 'alley' next to Bldg 130 and adjacent to BSOIC S4,1,1,BA00190594V,1,1-1-2021,01/12/2021,08/06/2021,0,01/12/2021,08/06/2021, 8D460768-6297-45EB-AC1D-2B043B6FB882
SSRL-023,37.41854858,-122.20148985,SPEAR3 ring outter side wall beside beam pipe to SLM room.,1,1,BA00104500Q,0,7-1-2021,08/09/2021,08/09/2021,,08/09/2021,08/09/2021, 976D6966-CCE0-4C2B-9AE2-70F73BAAE257
SSRL-023,37.41848755,-122.20150074,SPEAR3 ring outter side wall beside beam pipe to SLM room.,1,1,BA001066739,1,1-1-2021,01/12/2021,08/09/2021,0,01/12/2021,08/09/2021, A9B5E902-46D3-410F-BCA9-A2F077AC40E3
SSRL-024,37.41857910,-122.20153778,BLDG 120 - 2nd floor: Duty Ops work station in back area: adj to BSOIC and kitchen area,1,1,BA00066668P,0,7-1-2021,08/09/2021,08/09/2021,,08/09/2021,08/09/2021, C49B198D-91DF-45E9-B800-83869BD41089
SSRL-024,37.41864014,-122.20147783,BLDG 120 - 2nd floor: Duty Ops work station in back area: adj to BSOIC and kitchen area,1,1,BA00086485T,1,1-1-2021,01/12/2021,08/09/2021,0,01/12/2021,08/09/2021, 4873560C-5BB9-442E-811B-B3A2F48A6424
